日期,year,month,yearweek,yearday,week,weekend,workday,holiday_type,is_legal_workday,是否节假日,holiday_recess,holiday_name,节假日类型
2025-09-07,2025,9,36,250,6,1,1,holiday,1,1,1,Public Holiday,法定节假日
2025-09-08,2025,9,36,251,0,0,0,,1,0,0,,普通日
2025-09-09,2025,9,36,252,1,0,0,,1,0,0,,普通日
2025-09-10,2025,9,36,253,2,0,0,,1,0,0,,普通日
2025-09-11,2025,9,36,254,3,0,0,,1,0,0,,普通日
2025-09-12,2025,9,36,255,4,0,0,,1,0,0,,普通日
2025-09-13,2025,9,36,256,5,1,1,holiday,1,1,1,Public Holiday,法定节假日
2025-09-14,2025,9,37,257,6,1,1,holiday,1,1,1,Public Holiday,法定节假日
2025-09-15,2025,9,37,258,0,0,0,,1,0,0,,普通日
2025-09-16,2025,9,37,259,1,0,0,,1,0,0,,普通日
2025-09-17,2025,9,37,260,2,0,0,,1,0,0,,普通日
2025-09-18,2025,9,37,261,3,0,0,,1,0,0,,普通日
2025-09-19,2025,9,37,262,4,0,0,,1,0,0,,普通日
2025-09-20,2025,9,37,263,5,1,1,holiday,1,1,1,Public Holiday,法定节假日
2025-09-21,2025,9,38,264,6,1,1,holiday,1,1,1,Public Holiday,法定节假日
2025-09-22,2025,9,38,265,0,0,0,,1,0,0,,普通日
2025-09-23,2025,9,38,266,1,0,0,,1,0,0,,普通日
2025-09-24,2025,9,38,267,2,0,0,,1,0,0,,普通日
2025-09-25,2025,9,38,268,3,0,0,,1,0,0,,普通日
2025-09-26,2025,9,38,269,4,0,0,,1,0,0,,普通日
2025-09-27,2025,9,38,270,5,1,1,holiday,1,1,1,Public Holiday,法定节假日
2025-09-28,2025,9,39,271,6,1,0,,1,0,1,National Day,普通日
2025-09-29,2025,9,39,272,0,0,0,,1,0,0,,普通日
2025-09-30,2025,9,39,273,1,0,0,,1,0,0,,普通日
2025-10-01,2025,10,39,274,2,0,1,,1,1,1,National Day,法定节假日
2025-10-02,2025,10,39,275,3,0,1,,1,1,1,National Day,法定节假日
2025-10-03,2025,10,39,276,4,0,1,,1,1,1,National Day,法定节假日
2025-10-04,2025,10,39,277,5,1,1,,1,1,1,National Day,法定节假日
2025-10-05,2025,10,40,278,6,1,1,,1,1,1,National Day,法定节假日
2025-10-06,2025,10,40,279,0,0,1,,1,1,1,Mid-autumn Festival,法定节假日
2025-10-07,2025,10,40,280,1,0,1,,1,1,1,National Day,法定节假日
2025-10-08,2025,10,40,281,2,0,1,,1,1,1,National Day,法定节假日
2025-10-09,2025,10,40,282,3,0,0,,1,0,0,,普通日
2025-10-10,2025,10,40,283,4,0,0,,1,0,0,,普通日
2025-10-11,2025,10,40,284,5,1,0,,1,0,1,National Day,普通日
2025-10-12,2025,10,41,285,6,1,1,holiday,1,1,1,Public Holiday,法定节假日
2025-10-13,2025,10,41,286,0,0,0,,1,0,0,,普通日
2025-10-14,2025,10,41,287,1,0,0,,1,0,0,,普通日
2025-10-15,2025,10,41,288,2,0,0,,1,0,0,,普通日
