商品编码,日期,商品名称,销售数量,销售金额,销售净额,折扣金额,售价,是否促销,平均售价,实际折扣率
4701098,2025-07-06,福荫韧豆腐380g,2.0,11.98,10.601769912,0.0,5.99,0.0,5.99,1.0
4701098,2025-07-07,福荫韧豆腐380g,2.0,11.98,10.601769912,0.0,5.99,0.0,5.99,1.0
4701098,2025-07-08,福荫韧豆腐380g,0.0,0.0,,,5.990000000000002,0.0,,0.0
4701098,2025-07-09,福荫韧豆腐380g,1.0,5.99,5.300884956,0.0,5.99,0.0,5.99,1.0
4701098,2025-07-10,福荫韧豆腐380g,3.0,17.97,15.902654867999999,0.0,5.989999999999999,0.0,5.989999999999999,1.0
4701098,2025-07-11,福荫韧豆腐380g,3.0,17.97,15.902654867999999,0.0,5.989999999999999,0.0,5.989999999999999,1.0
4701098,2025-07-12,福荫韧豆腐380g,2.0,11.98,10.601769912,0.0,5.99,0.0,5.99,1.0
4701098,2025-07-13,福荫韧豆腐380g,0.0,0.0,,,5.990000000000002,0.0,,0.0
4701098,2025-07-14,福荫韧豆腐380g,1.0,5.99,5.300884956,0.0,5.99,0.0,5.99,1.0
4701098,2025-07-15,福荫韧豆腐380g,1.0,5.99,5.300884956,0.0,5.99,0.0,5.99,1.0
4701098,2025-07-16,福荫韧豆腐380g,2.0,11.98,10.601769912,0.0,5.99,0.0,5.99,1.0
4701098,2025-07-17,福荫韧豆腐380g,2.0,11.98,10.601769912,0.0,5.99,0.0,5.99,1.0
4701098,2025-07-18,福荫韧豆腐380g,2.0,11.98,10.601769912,0.0,5.99,0.0,5.99,1.0
4701098,2025-07-19,福荫韧豆腐380g,1.0,5.99,5.300884956,0.0,5.99,0.0,5.99,1.0
4701098,2025-07-20,福荫韧豆腐380g,8.0,47.92,37.309734512,5.76,5.99,1.0,5.2700000000000005,0.8797996661101837
4701098,2025-07-21,福荫韧豆腐380g,4.0,23.96,21.203539824,0.0,5.99,0.0,5.99,1.0
4701098,2025-07-22,福荫韧豆腐380g,1.0,5.99,5.300884956,0.0,5.99,0.0,5.99,1.0
4701098,2025-07-23,福荫韧豆腐380g,4.0,23.96,21.203539824,0.0,5.99,0.0,5.99,1.0
4701098,2025-07-24,福荫韧豆腐380g,0.0,0.0,,,5.990000000000002,0.0,,0.0
4701098,2025-07-25,福荫韧豆腐380g,4.0,23.96,21.203539824,0.0,5.99,0.0,5.99,1.0
4701098,2025-07-26,福荫韧豆腐380g,5.0,29.950000000000003,26.50442478,0.0,5.99,0.0,5.99,1.0
4701098,2025-07-27,福荫韧豆腐380g,5.0,29.950000000000003,23.849557523,3.0,5.99,1.0,5.390000000000001,0.8998330550918197
4701098,2025-07-28,福荫韧豆腐380g,2.0,11.98,10.601769912,0.0,5.99,0.0,5.99,1.0
4701098,2025-07-29,福荫韧豆腐380g,1.0,5.99,5.300884956,0.0,5.99,0.0,5.99,1.0
4701098,2025-07-30,福荫韧豆腐380g,1.0,5.99,5.300884956,0.0,5.99,0.0,5.99,1.0
4701098,2025-07-31,福荫韧豆腐380g,1.0,5.99,5.300884956,0.0,5.99,0.0,5.99,1.0
4701098,2025-08-01,福荫韧豆腐380g,2.0,11.98,10.601769912,0.0,5.99,0.0,5.99,1.0
4701098,2025-08-02,福荫韧豆腐380g,4.0,23.96,21.203539824,0.0,5.99,0.0,5.99,1.0
4701098,2025-08-03,福荫韧豆腐380g,0.0,0.0,,,5.990000000000002,0.0,,0.0
4701098,2025-08-04,福荫韧豆腐380g,3.0,17.97,15.902654867999999,0.0,5.989999999999999,0.0,5.989999999999999,1.0
4701098,2025-08-05,福荫韧豆腐380g,6.0,35.94,31.805309735999998,0.0,5.989999999999999,0.0,5.989999999999999,1.0
4701098,2025-08-06,福荫韧豆腐380g,3.0,17.97,13.247787611,3.0,5.989999999999999,1.0,4.989999999999999,0.8330550918196995
4701098,2025-08-07,福荫韧豆腐380g,1.0,5.99,5.300884956,0.0,5.99,0.0,5.99,1.0
4701098,2025-08-08,福荫韧豆腐380g,0.0,0.0,,,5.990000000000002,0.0,,0.0
4701098,2025-08-09,福荫韧豆腐380g,2.0,11.98,10.601769912,0.0,5.99,0.0,5.99,1.0
4701098,2025-08-10,福荫韧豆腐380g,4.0,23.96,18.548672567,3.0,5.99,1.0,5.24,0.8747913188647747
